Year,SCC
2020,$247 
2021,$252 
2022,$256 
2023,$261 
2024,$266 
2025,$271 
2026,$275 
2027,$280 
2028,$285 
2029,$289 
2030,$294 
2031,$299 
2032,$303 
2033,$308 
2034,$313 
2035,$317 
2036,$322 
2037,$327 
2038,$331 
2039,$336 
2040,$341 
2041,$347 
2042,$352 
2043,$357 
2044,$362 
2045,$367 
2046,$372 
2047,$379 
2048,$384 
2049,$389 
2050,$394 
2051,$399 
2052,$403 
2053,$408 
2054,$413 
2055,$417 
2056,$422 
2057,$427 
2058,$432 
2059,$436 
2060,$441 
2061,$445 
2062,$449 
2063,$453 
2064,$457 
2065,$460 
2066,$464 
2067,$468 
2068,$472 
2069,$476 
2070,$480 
2071,$483 
2072,$488 
2073,$492 
2074,$496 
2075,$500 
2076,$504 
2077,$509 
2078,$513 
2079,$517 
2080,$520 
