solris_class,solris_code,area_hectares,wf_value_per_ha,total_wf_value,percentage_of_total
Treed Swamp,131,120021.8555,5397.0,647757953.924,71.84650809537447
Marsh,160,25277.4824,8297.0,209727271.4201,23.262041033421145
Thicket Swamp,135,6794.5791,5397.0,36670343.6086,4.067315766599693
Bog,150,1272.4086,5838.0,7428321.2368,0.8239172342720641
Fen,140,0.5649,3477.0,1964.2881,0.0002178703326194214
Shrub Alvar,52,7.0198,0.0,0.0,0.0
Treed Alvar,53,5.7258,0.0,0.0,0.0
Open Tallgrass Prairie,81,239.9,0.0,0.0,0.0
Tallgrass Savannah,82,473.7644,0.0,0.0,0.0
Tallgrass Woodland,83,1132.9382,0.0,0.0,0.0
Forest,90,6020.7403,0.0,0.0,0.0
Coniferous Forest,91,5756.7927,0.0,0.0,0.0
Mixed Forest,92,21466.2711,0.0,0.0,0.0
Deciduous Forest,93,151116.5419,0.0,0.0,0.0
Open Water,170,35572.1553,0.0,0.0,0.0
Plantation - Tree Cultivated,191,9458.6952,0.0,0.0,0.0
Hedge Rows,192,14930.9495,0.0,0.0,0.0
Tilled,193,1249046.1767,0.0,0.0,0.0
Transportation,201,121291.9194,0.0,0.0,0.0
Built Up Area-Pervious,202,43833.1616,0.0,0.0,0.0
Built Up Area-Impervious,203,191639.237,0.0,0.0,0.0
Extraction-Aggregate,204,5272.1646,0.0,0.0,0.0
Extraction-Peat/Topsoil,205,19.4265,0.0,0.0,0.0
Open Beach/Bar,11,558.7053,0.0,0.0,0.0
Undifferentiated,250,389065.9426,0.0,0.0,0.0
Open Sand Dune,21,638.4137,0.0,0.0,0.0
Treed Sand Dune,23,248.3587,0.0,0.0,0.0
Open Cliff and Talus,41,6.0354,0.0,0.0,0.0
Treed Cliff and Talus,43,65.0139,0.0,0.0,0.0
